date,airPressure_outside_fall,airPressure_outside_max,airPressure_outside_mean,airPressure_outside_min,airPressure_outside_rise,hour_group,humidity_outside_fall,humidity_outside_max,humidity_outside_mean,humidity_outside_min,humidity_outside_rise,light_outside_max,light_outside_mean,light_outside_min,rain_outside_max,rain_outside_mean,rain_outside_min,temperature_outside_fall,temperature_outside_max,temperature_outside_mean,temperature_outside_min,temperature_outside_rise
08-02-2017 1,5,1011,1010.6,1010,5,1,14,94,64.1714285714,40,71,2368,872.9142857143,10,0,0,0,37,35,27.7142857143,21,11
08-02-2017 2,0,1010,1008.7352941177,1008,5,2,29,46,42.2352941176,38,35,539,199.5,144,0,0,0,2,32,31.9411764706,31,2
08-02-2017 3,0,1008,1008,1008,0,3,58,74,55.7058823529,40,20,145,40.8823529412,0,0,0,0,5,32,29.1176470588,26,20
08-03-2017 0,0,1007,1005,1003,2,0,52,91,78.1764705882,61,29,5,0.1470588235,0,0,0,0,8,27,24.7352941176,23,14
08-03-2017 1,0,1007,1006.9705882353,1006,2,1,17,84,58.7941176471,30,55,2275,864.1764705882,14,0,0,0,35,39,29.7647058824,23,11
08-03-2017 2,0,1006,1004.5588235294,1003,8,2,35,41,38.9705882353,35,41,586,230.9411764706,150,0,0,0,0,35,33.1176470588,33,5
08-03-2017 3,2,1004,1003.0882352941,1003,2,3,61,64,47.9705882353,37,20,148,39.2647058824,0,0,0,0,5,33,30.3529411765,27,20
08-04-2017 0,0,1003,1002.5,1002,2,0,50,87,80.6470588235,72,44,1,0.0303030303,0,0,0,0,5,27,25.5588235294,24,8
08-04-2017 1,0,1003,1003,1003,0,1,22,85,53.6571428571,27,60,2221,845.7142857143,7,0,0,0,37,40,31.1142857143,24,11
08-04-2017 2,0,1003,1001.5,1000,8,2,23,33,31.1764705882,27,29,535,220.4117647059,124,0,0,0,8,36,34.9705882353,34,11
08-04-2017 3,5,1002,1001.205882353,1000,0,3,67,74,50.2647058824,29,20,156,37.5588235294,0,0,0,0,2,35,31.3823529412,27,23
08-05-2017 0,0,1002,1002,1002,0,0,47,92,84.3529411765,77,38,4,0.1176470588,0,0,0,0,2,28,26.5588235294,25,8
08-05-2017 1,2,1003,1002.5588235294,1002,0,1,23,90,58.5588235294,35,67,2325,885.0588235294,11,0,0,0,41,40,31.7647058824,25,11
08-05-2017 2,0,1003,1001.6764705882,1001,5,2,29,42,38.0882352941,36,38,581,253.7058823529,149,0,0,0,0,36,35.0882352941,35,2
08-05-2017 3,2,1002,1001.5,1001,0,3,70,81,54.7058823529,35,14,149,37.5882352941,0,0,0,0,0,35,31.6470588235,28,20
08-08-2017 0,14,1011,1009.0571428572,1007,8,0,28,75,70.2285714286,66,25,0,0,0,1,0.0285714286,0,0,23,22.0285714286,21,5
08-08-2017 1,14,1010,1008.6764705882,1007,8,1,23,69,60.9705882353,51,44,2071,611.4705882353,4,1,0.0294117647,0,17,25,22.6176470588,21,8
08-08-2017 2,0,1009,1008.5294117647,1008,2,2,17,55,53.6764705882,52,20,854,321.4117647059,157,0,0,0,11,27,26.0882352941,25,5
08-08-2017 3,8,1010,1009.1470588235,1008,2,3,44,66,59.5588235294,53,5,153,36.8823529412,0,0,0,0,0,27,24.7647058824,23,11
08-09-2017 0,2,1011,1009.5294117647,1009,2,0,29,74,71,67,23,1,0.0294117647,0,0,0,0,2,26,22.7941176471,20,8
08-09-2017 1,0,1011,1011,1011,0,1,11,72,61.4411764706,48,41,1949,818.5,6,0,0,0,23,29,23.8823529412,20,11
08-09-2017 2,0,1011,1009.4705882353,1008,8,2,23,54,52.1470588235,51,29,746,333.5588235294,139,0,0,0,8,29,28.3235294118,27,2
08-09-2017 3,8,1009,1008.6764705882,1008,5,3,47,66,58.2352941176,52,5,124,31.5588235294,0,0,0,0,2,29,27.4705882353,26,11
08-11-2017 0,0,1004,1003.1470588235,1002,5,0,23,66,59.4705882353,54,5,0,0,0,0,0,0,2,27,25.5294117647,25,5
08-11-2017 1,0,1004,1004,1004,0,1,26,68,60.7352941176,50,35,2395,831.3235294118,5,0,0,0,20,32,27.6764705882,24,8
08-11-2017 2,0,1004,1003.205882353,1002,5,2,26,57,48.1470588235,37,52,558,236.4117647059,154,0,0,0,11,32,31.2352941176,30,5
08-11-2017 3,5,1003,1002.4411764706,1002,2,3,41,56,48.8235294118,37,17,150,36.5588235294,0,0,0,0,2,32,30.2647058824,27,17
08-12-2017 0,5,1002,999,996,11,0,44,63,51.1470588235,39,29,0,0,0,0,0,0,5,27,24.9411764706,23,17
08-12-2017 1,2,1002,1001.8285714286,1001,5,1,14,61,44.8285714286,28,54,2270,818.9428571429,1,0,0,0,25,34,27.6285714286,23,2
08-12-2017 2,0,1001,999.7647058824,998,8,2,20,29,24.9411764706,23,29,493,202.7058823529,149,0,0,0,5,33,32.6470588235,32,5
08-12-2017 3,0,998,997.0909090909,997,3,3,45,39,32.6666666667,26,6,145,32.2424242424,0,0,0,0,0,32,29.7941176471,27,14
08-13-2017 0,11,1001,998.1176470588,996,2,0,52,77,62.9705882353,50,29,0,0,0,0,0,0,8,24,22.9117647059,22,14
08-13-2017 1,5,997,996.6470588235,996,2,1,32,60,44.6176470588,29,50,2254,804.1764705882,3,0,0,0,41,34,27.0588235294,21,17
08-13-2017 2,0,997,997,997,0,2,47,41,33.7352941176,30,26,643,291.5588235294,112,0,0,0,0,31,30.1764705882,29,5
08-13-2017 3,5,999,998.4,997,0,3,48,63,52.5142857143,42,14,145,24.3142857143,0,0,0,0,2,29,26.2,25,11
08-14-2017 0,5,1007,1004.1764705882,1001,0,0,44,78,71.0588235294,66,32,0,0,0,0,0,0,11,23,22.2058823529,21,20
08-14-2017 1,2,1004,1003.3529411765,1003,0,1,29,78,72.5294117647,67,44,610,175.5,0,0,0,0,8,24,22.4411764706,21,0
08-14-2017 2,2,1005,1004.1470588235,1004,0,2,20,65,54.8235294118,49,41,522,294.2352941176,50,0,0,0,11,27,26.2647058824,25,8
08-14-2017 3,5,1007,1006.0294117647,1005,0,3,41,68,60.7352941176,51,23,69,13.2941176471,0,0,0,0,0,26,23.9705882353,22,11
08-15-2017 0,2,1007,1006.3529411765,1006,5,0,38,74,64.4411764706,52,35,0,0,0,0,0,0,11,25,22.5294117647,21,14
08-15-2017 1,2,1007,1006.9428571429,1006,0,1,22,73,58.6,38,48,2072,684.4,0,0,0,0,28,31,25.1428571429,21,20
08-15-2017 2,2,1007,1006.1764705882,1005,5,2,20,45,41.9411764706,38,23,652,271,131,0,0,0,8,30,29,28,8
08-15-2017 3,2,1007,1006.6470588235,1006,0,3,32,51,46.9117647059,42,11,163,30.4117647059,0,0,0,0,0,29,26.4117647059,25,11
08-16-2017 0,0,1006,1005.0588235294,1004,5,0,32,63,59.3529411765,57,38,0,0,0,0,0,0,5,24,23.4117647059,23,2
08-16-2017 1,2,1006,1005.9411764706,1005,0,1,20,63,52.4411764706,40,50,2320,811.8235294118,0,0,0,0,23,32,26.9411764706,23,8
08-16-2017 2,8,1006,1004.7714285714,1004,14,2,31,44,38.1142857143,34,37,519,237.4285714286,177,0,0,0,5,31,30.5142857143,30,2
08-16-2017 3,5,1006,1004.8235294118,1004,2,3,41,58,42.6764705882,36,14,125,25.2352941176,0,0,0,0,0,31,28.2352941176,25,17
08-17-2017 0,2,1005,1004.5,1004,0,0,38,61,53.1176470588,44,20,0,0,0,0,0,0,2,26,24.2352941176,23,2
08-17-2017 1,2,1005,1004.8823529412,1004,0,1,11,61,46.3235294118,30,61,2295,841.0294117647,1,0,0,0,32,35,27.2647058824,23,8
08-17-2017 2,0,1005,1004.3823529412,1004,2,2,41,33,28.6470588235,25,38,515,221.7352941176,170,0,0,0,0,31,31,31,0
08-17-2017 3,5,1006,1005.0588235294,1004,0,3,41,45,35.6176470588,26,11,149,27.1764705882,0,0,0,0,0,31,28.4411764706,26,14
08-18-2017 0,2,1006,1005.1470588235,1005,2,0,35,59,53.3823529412,50,32,0,0,0,0,0,0,11,24,23.6470588235,23,14
08-18-2017 1,5,1007,1006.0285714286,1005,2,1,14,52,40.3142857143,25,51,2373,756.4285714286,0,0,0,0,40,37,28.3428571429,23,11
08-18-2017 2,0,1006,1005.4705882353,1005,2,2,23,27,24.5588235294,22,26,444,247.2647058824,145,0,0,0,5,33,32.1470588235,32,8
08-18-2017 3,2,1006,1005.4411764706,1005,0,3,58,61,40.4705882353,22,23,140,29.4117647059,0,0,0,0,2,32,27.8823529412,24,26
08-19-2017 0,0,1005,1005,1005,0,0,38,65,56.5,40,32,0,0,0,0,0,0,5,26,23.2058823529,22,11
08-19-2017 1,9,1007,1006.0303030303,1005,6,1,29,63,46.4117647059,30,55,2155,846.8181818182,0,0,0,0,32,33,26.6764705882,22,8
08-19-2017 2,0,1006,1005.3235294118,1005,2,2,29,33,27.8235294118,24,38,537,233.2647058824,152,0,0,0,2,32,31.6176470588,31,0
08-19-2017 3,0,1005,1005,1005,0,3,41,55,35.7647058824,24,32,146,32.7647058824,0,0,0,0,14,32,28.5588235294,24,32
08-20-2017 0,0,1005,1002.7142857143,1001,5,0,60,71,61.5428571429,55,20,0,0,0,0,0,0,5,26,23.6,21,14
08-20-2017 1,3,1005,1004.7878787879,1004,3,1,26,63,44.8529411765,26,52,2453,819.7878787879,0,0,0,0,35,34,26.7352941176,21,14
08-20-2017 2,0,1004,1002.3529411765,1001,8,2,29,35,30.6470588235,26,23,398,208.6176470588,127,0,0,0,8,32,31.0882352941,31,8
08-20-2017 3,2,1001,1000.9705882353,1000,2,3,58,55,41.5,33,2,175,33.7647058824,0,0,0,0,0,31,29.4411764706,27,11
08-21-2017 0,5,1002,1001.4117647059,1000,2,0,41,94,80.1470588235,70,35,0,0,0,16,3.1470588235,0,0,24,21.7941176471,20,11
08-21-2017 1,5,1001,1000.7941176471,1000,5,1,20,73,54.0294117647,39,55,1924,669.3235294118,0,0,0,0,29,30,25.7058823529,22,11
08-21-2017 2,5,1000,999.0285714286,998,11,2,34,50,42.2857142857,37,31,572,348.8,244,0,0,0,5,30,28.8857142857,27,8
08-21-2017 3,8,1002,1000.9705882353,999,0,3,52,89,70.0588235294,46,23,236,25,0,24,7.8823529412,0,5,28,23.1176470588,21,23
08-22-2017 0,8,1004,1003.3529411765,1002,2,0,47,100,91.5882352941,80,32,0,0,0,17,5.6764705882,0,8,20,18.7647058824,18,17
08-22-2017 1,8,1005,1004.2647058824,1003,2,1,29,98,84.3823529412,57,58,1277,309.2352941176,0,11,2.4705882353,0,23,23,20.1764705882,18,17
08-22-2017 2,0,1005,1003.705882353,1003,5,2,44,64,56.5882352941,47,35,719,339.5,149,0,0,0,8,24,23,22,8
08-22-2017 3,2,1004,1003.5142857143,1003,0,3,45,81,66.9428571429,57,22,145,28.2285714286,0,0,0,0,5,23,21.7428571429,20,14
08-23-2017 0,5,1008,1005.5882352941,1004,0,0,47,88,66.7647058824,52,32,0,0,0,0,0,0,2,20,18.3235294118,18,5
08-23-2017 1,2,1005,1004.4411764706,1004,0,1,44,76,62.0294117647,45,47,1821,669.3529411765,0,0,0,0,32,29,22,18,14
08-23-2017 2,0,1005,1004.4117647059,1004,2,2,29,52,43.8823529412,37,47,627,316.7352941176,150,0,0,0,8,26,24.7352941176,24,8
08-23-2017 3,8,1007,1005.3428571429,1004,0,3,54,54,46.4571428571,35,22,161,29.5714285714,0,0,0,0,5,25,22.4571428571,20,17
08-24-2017 0,8,1011,1009.1764705882,1008,2,0,58,86,73.5882352941,57,29,0,0,0,0,0,0,5,20,17.7647058824,16,14
08-24-2017 1,5,1010,1009.3235294118,1008,0,1,20,81,54.9411764706,28,61,2241,804.0294117647,0,0,0,0,35,30,21.8235294118,16,14
08-24-2017 2,0,1010,1009.3529411765,1009,2,2,38,39,35.4117647059,31,44,494,212.9411764706,140,0,0,0,5,26,25,24,5
08-24-2017 3,5,1010,1009.2571428572,1008,2,3,51,60,43.9428571429,32,34,135,29.1428571429,0,0,0,0,2,25,22.7428571429,20,17
08-26-2017 0,2,1010,1008.2941176471,1007,5,0,55,78,63.6470588235,46,32,0,0,0,0,0,0,5,24,20.3529411765,18,17
08-26-2017 1,2,1011,1010.1764705882,1010,2,1,20,75,53.9411764706,31,61,2378,846.1176470588,0,0,0,0,35,33,23.2352941176,18,14
08-26-2017 2,0,1010,1008.5882352941,1007,8,2,32,38,33.1470588235,30,38,295,177.5882352941,138,0,0,0,11,29,28.3529411765,27,5
08-26-2017 3,0,1007,1007,1007,0,3,50,67,48.2941176471,30,35,132,27.7352941176,0,0,0,0,8,29,25.4705882353,23,23
08-27-2017 0,0,1007,1004.1142857143,1001,8,0,45,84,74.4571428571,59,28,0,0,0,0,0,0,8,23,20.9142857143,19,8
08-27-2017 1,5,1007,1006.5588235294,1006,8,1,38,85,58.9411764706,33,44,2317,905.0588235294,0,0,0,0,32,33,24.9117647059,19,17
08-27-2017 2,0,1006,1003.9411764706,1002,11,2,29,37,33.5588235294,32,32,363,193.1176470588,138,0,0,0,8,30,29.5,29,8
08-27-2017 3,0,1002,1002,1002,0,3,55,65,51.9117647059,36,26,131,25.5,0,0,0,0,0,29,25.9411764706,23,17
08-28-2017 0,2,1004,1002.2941176471,1000,2,0,26,90,77.1764705882,64,52,0,0,0,0,0,0,8,22,20.1470588235,19,14
08-28-2017 1,5,1001,1000.1714285714,1000,5,1,28,71,53.7428571429,35,45,2080,707.5142857143,0,0,0,0,40,34,25.0857142857,20,14
08-28-2017 2,8,1001,999.6470588235,999,11,2,32,80,48.0588235294,39,29,450,227.5,12,18,1.3529411765,0,5,30,28.5588235294,23,17
08-28-2017 3,17,1004,1002.5,1000,5,3,26,99,86.6764705882,61,50,70,5.7647058824,0,20,3.8235294118,0,5,26,21.7058823529,20,17
08-29-2017 0,11,1009,1006.2647058824,1004,0,0,41,89,74.5294117647,69,23,0,0,0,24,0.7058823529,0,2,20,18.8529411765,18,8
08-29-2017 1,2,1007,1006.5588235294,1006,0,1,26,91,84.5882352941,73,50,588,130.9411764706,0,21,4.4117647059,0,8,19,17.1470588235,16,5
08-29-2017 2,0,1008,1007.0285714286,1007,2,2,17,74,61.1142857143,55,42,537,332.7714285714,118,0,0,0,8,22,21.2857142857,19,0
08-29-2017 3,2,1008,1007.6470588235,1007,0,3,44,77,69.1764705882,57,20,109,18.5294117647,0,0,0,0,8,22,20.7352941176,20,14
08-30-2017 0,2,1010,1008.8823529412,1008,5,0,26,88,79,69,35,0,0,0,0,0,0,2,19,17.2941176471,16,8
08-30-2017 1,2,1011,1010.2857142857,1010,2,1,28,77,57.4571428571,42,54,2121,642.7714285714,0,0,0,0,31,23,18.7714285714,15,17
08-30-2017 2,0,1010,1009.0588235294,1008,5,2,35,49,46.7058823529,44,23,590,245.6470588235,120,0,0,0,8,23,22.5294117647,21,2
08-30-2017 3,2,1009,1008.0294117647,1008,2,3,47,72,56.7352941176,49,17,105,20.7647058824,0,0,0,0,8,23,21.2941176471,19,17
08-31-2017 0,0,1008,1006.2352941177,1004,5,0,50,94,78.4411764706,61,35,0,0,0,0,0,0,14,22,18.2647058824,16,20
08-31-2017 1,2,1009,1008.3142857143,1008,2,1,28,89,65.2571428571,39,62,2120,705,0,0,0,0,37,29,21,15,20
08-31-2017 2,0,1008,1006.6176470588,1005,8,2,38,50,45.8823529412,40,41,360,198.6470588235,130,0,0,0,8,26,25.0294117647,24,8
08-31-2017 3,0,1005,1005,1005,0,3,58,75,59.8529411765,41,17,122,22.9117647059,0,0,0,0,2,25,22.3235294118,20,14
09-01-2017 0,2,1004,1002.4117647059,1000,8,0,38,87,79.7647058824,72,35,0,0,0,0,0,0,8,21,19.0882352941,17,11
09-01-2017 1,2,1004,1003.7714285714,1003,5,1,25,90,63.6857142857,33,60,2165,699.6285714286,0,0,0,0,40,33,23.0571428571,17,20
09-01-2017 2,2,1003,1001.3529411765,1000,11,2,41,44,38.5588235294,36,38,342,192.9705882353,129,0,0,0,17,28,27.2058823529,27,17
09-01-2017 3,2,1001,1000.5882352941,1000,0,3,52,79,59.3529411765,37,29,124,22.4705882353,0,0,0,0,2,27,23.6764705882,21,20
09-02-2017 0,2,1001,999.4411764706,998,5,0,47,83,68,56,41,0,0,0,0,0,0,11,23,20.8823529412,18,14
09-02-2017 1,2,1002,1001.3142857143,1001,2,1,25,85,63.0857142857,36,51,2198,694.8,0,0,0,0,37,34,23.9142857143,18,8
09-02-2017 2,0,1001,999.9117647059,999,5,2,29,43,33.8529411765,29,44,309,180,128,0,0,0,11,30,29.1764705882,29,8
09-02-2017 3,2,999,998.9705882353,998,2,3,70,81,57.5882352941,32,14,120,20.6470588235,0,0,0,0,5,29,25.3823529412,23,23
09-03-2017 0,11,998,997.1176470588,996,14,0,32,95,76.8529411765,57,29,0,0,0,9,2.5882352941,0,2,23,20.9411764706,20,11
09-03-2017 1,2,997,996.7941176471,996,5,1,11,66,53.3529411765,36,52,2138,753.6470588235,0,0,0,0,23,29,23.5882352941,20,2
09-03-2017 2,2,996,994,993,8,2,42,58,43.1142857143,33,22,516,272.6857142857,108,0,0,0,14,31,28.5428571429,26,20
09-03-2017 3,14,998,994.4117647059,992,11,3,41,100,76.4705882353,61,32,95,11.6764705882,0,23,3.9117647059,0,8,26,22.7941176471,19,20
09-04-2017 0,11,1006,1002.0294117647,997,0,0,35,98,78.4705882353,62,41,0,0,0,4,0.4705882353,0,11,20,18.5588235294,17,17
09-04-2017 1,8,1002,1000.5588235294,999,0,1,35,90,69.2941176471,48,55,2377,688.2941176471,0,0,0,0,32,25,19.8235294118,17,23
09-04-2017 2,0,1002,1002,1002,0,2,28,55,51.0571428571,47,42,395,240.8571428571,119,0,0,0,11,23,22.3428571429,22,11
09-04-2017 3,8,1005,1003.9411764706,1002,0,3,47,64,57.6764705882,48,20,120,20.2352941176,0,0,0,0,5,22,20.4117647059,19,14
09-05-2017 0,3,1006,1005.3939393939,1004,9,0,51,90,78.8484848485,71,24,0,0,0,0,0,0,0,17,16.1176470588,15,5
09-05-2017 1,2,1007,1006.8529411765,1006,0,1,32,80,70.4117647059,59,41,1070,333.5,0,0,0,0,26,21,17.9411764706,16,14
09-05-2017 2,0,1007,1006.1428571429,1005,5,2,28,61,57,50,40,531,326.9142857143,151,0,0,0,17,23,21.6285714286,21,14
09-05-2017 3,2,1006,1005.0588235294,1005,2,3,47,79,63.9117647059,50,35,234,31.7647058824,0,0,0,0,17,23,18.7941176471,16,26
09-06-2017 0,0,1004,1003.4411764706,1003,2,0,47,90,80.8235294118,73,41,0,0,0,0,0,0,8,18,16.3529411765,15,8
09-06-2017 1,0,1003,1003,1003,0,1,31,79,62,38,45,2465,646.6,0,0,0,0,25,28,19.7142857143,15,20
09-06-2017 2,0,1003,1001.6764705882,1001,5,2,38,51,44.9705882353,42,41,242,180.6176470588,81,0,0,0,20,24,22.8823529412,21,17
09-06-2017 3,5,1003,1002.3235294118,1001,0,3,64,80,58.7058823529,44,23,138,21.3529411765,0,0,0,0,11,24,20.9705882353,18,23
09-07-2017 0,0,1003,1002.5,1002,2,0,47,88,80.3235294118,73,41,0,0,0,0,0,0,2,20,18.2647058824,17,2
09-07-2017 1,2,1004,1003.3142857143,1003,2,1,28,73,59.5142857143,37,45,2482,787.8571428571,0,0,0,0,31,30,21.4,17,17
09-07-2017 2,0,1003,1002.0588235294,1001,5,2,29,50,44.3823529412,41,41,250,160.8823529412,122,0,0,0,8,26,25.6764705882,24,5
09-07-2017 3,2,1002,1001.5882352941,1001,0,3,67,77,62.5588235294,42,11,117,17.8823529412,0,0,0,0,2,26,22.6764705882,20,17
09-08-2017 0,2,1003,1002.5,1002,0,0,32,95,81.3235294118,68,29,0,0,0,0,0,0,11,21,19.3235294118,18,14
09-08-2017 1,5,1004,1003.2857142857,1002,0,1,31,86,69.1714285714,52,60,1598,499.7142857143,0,0,0,0,37,26,21.8571428571,18,22
09-08-2017 2,0,1004,1002.9117647059,1002,5,2,17,54,44.6176470588,39,44,347,182.2058823529,106,0,0,0,8,28,26.7058823529,25,2
09-08-2017 3,2,1003,1002.5588235294,1002,0,3,55,66,53.6176470588,42,5,119,18.9411764706,0,0,0,0,0,27,24.4411764706,21,17
09-09-2017 0,5,1003,1000.8529411765,999,11,0,41,100,87.1176470588,74,29,0,0,0,14,2.0588235294,0,11,21,19.2058823529,17,17
09-09-2017 1,5,1003,1002.3142857143,1002,5,1,20,88,68,47,60,2350,761.3714285714,0,0,0,0,22,26,21.0857142857,17,2
09-09-2017 2,2,1002,999.4705882353,998,14,2,29,44,35.8235294118,32,44,357,224.6470588235,115,0,0,0,5,29,28.6176470588,27,0
09-09-2017 3,11,1000,998.5,997,8,3,58,100,64.2941176471,39,14,82,10.3529411765,0,17,3.0882352941,0,0,29,24.7352941176,20,26
09-10-2017 0,8,1001,1000.205882353,999,5,0,32,100,94.6176470588,78,26,0,0,0,1,0.3235294118,0,8,22,19.5588235294,19,8
09-10-2017 1,5,1001,1000.3428571429,999,0,1,28,100,81.5714285714,52,34,2667,916.5428571429,0,1,0.1142857143,0,25,31,23.2857142857,19,14
09-10-2017 2,0,1001,1000.5,1000,2,2,29,70,58.7352941176,50,52,390,198.1764705882,116,0,0,0,2,26,25.6764705882,25,0
09-10-2017 3,2,1001,1000.4705882353,1000,0,3,55,96,76.1470588235,53,32,110,15.6470588235,0,0,0,0,14,26,22.8235294118,20,23
09-11-2017 0,0,1001,997.0882352941,993,5,0,58,98,81.8235294118,60,17,0,0,0,0,0,0,5,23,20.5588235294,18,8
09-11-2017 1,0,1001,1000.9714285714,1000,2,1,31,100,73.5714285714,48,54,2416,748.6857142857,0,0,0,0,28,30,22.8571428571,18,14
09-11-2017 2,0,1000,998,996,11,2,23,52,42.2058823529,33,44,271,174.1764705882,120,0,0,0,14,31,29.2647058824,27,5
09-11-2017 3,2,996,994.9117647059,994,5,3,55,60,47,35,11,109,14.8529411765,0,0,0,0,2,30,26.7941176471,24,20
09-12-2017 0,5,1000,995.8823529412,991,5,0,44,84,70.1470588235,55,14,0,0,0,0,0,0,2,23,21.9117647059,21,2
09-12-2017 1,11,992,991.5294117647,991,8,1,23,84,66.0882352941,39,47,2150,615.5294117647,0,0,0,0,32,32,24.5294117647,21,20
09-12-2017 2,11,995,993.8571428571,992,2,2,34,57,50.1428571429,43,45,370,209.5142857143,114,0,0,0,11,28,27.5714285714,27,8
09-12-2017 3,11,999,996.9705882353,995,0,3,35,58,51.9117647059,46,32,109,15.8823529412,0,0,0,0,2,27,25.1176470588,23,11
09-13-2017 0,5,1006,1003.205882353,1000,0,0,47,70,58.4411764706,47,32,0,0,0,0,0,0,5,22,20.6470588235,19,14
09-13-2017 1,5,1003,1002.2352941177,1001,0,1,38,72,57.6176470588,35,41,2467,769.8235294118,0,0,0,0,26,34,24.5,20,14
09-13-2017 2,2,1004,1003.0294117647,1003,2,2,32,46,38.7647058824,34,38,285,170.3823529412,121,0,0,0,5,28,27.0588235294,27,5
09-13-2017 3,8,1006,1004.8571428572,1003,0,3,42,52,40.0571428571,34,22,114,17.1428571429,0,0,0,0,0,26,23.8571428571,21,14
09-14-2017 0,2,1007,1003.1470588235,1000,8,0,41,85,69.1470588235,54,26,0,0,0,0,0,0,11,21,18.2941176471,17,17
09-14-2017 1,2,1007,1006.8529411765,1006,2,1,41,69,55.1764705882,31,41,2382,759.4411764706,0,0,0,0,29,31,20.9117647059,16,20
09-14-2017 2,0,1006,1003.7941176471,1002,11,2,32,46,38.0588235294,31,47,217,149.6764705882,119,0,0,0,8,26,24.7647058824,24,5
09-14-2017 3,0,1001,1001,1001,0,3,62,80,61.3142857143,33,22,111,16.9714285714,0,0,0,0,8,25,21.2285714286,19,25
09-15-2017 0,5,1004,1001.7941176471,1000,0,0,32,84,72.7352941176,64,47,0,0,0,0,0,0,23,22,19.1470588235,17,26
09-15-2017 1,12,1003,1001.6060606061,1000,3,1,27,79,55.303030303,27,48,2471,697.0909090909,0,0,0,0,38,34,23.9117647059,17,23
09-15-2017 2,0,1003,1001.8823529412,1001,5,2,38,44,37.7058823529,34,41,220,152.5,117,0,0,0,11,29,28,27,11
09-15-2017 3,5,1003,1002.5714285714,1001,0,3,62,87,67.8857142857,38,8,109,15.8285714286,0,0,0,0,5,28,23.5428571429,21,25
09-16-2017 0,2,1005,1004.5,1004,0,0,58,68,59.0588235294,46,17,0,0,0,0,0,0,5,23,20.6470588235,19,11
09-16-2017 1,5,1006,1005.2352941177,1004,0,1,17,67,56.5294117647,39,50,2700,830.1764705882,0,0,0,0,26,30,22.7352941176,19,8
09-16-2017 2,2,1006,1004,1003,11,2,32,39,35.1176470588,32,32,222,154.9411764706,117,0,0,0,5,29,28.4117647059,27,0
09-16-2017 3,5,1005,1003.6857142857,1003,0,3,40,50,43.7428571429,38,25,110,15.3714285714,0,0,0,0,5,29,26.2,23,22
09-17-2017 0,6,1005,1002.0909090909,999,12,0,66,88,74.5454545455,63,12,0,0,0,0,0,0,6,23,20.9090909091,19,12
09-17-2017 1,2,1005,1004.8235294118,1004,2,1,23,97,77.6176470588,47,55,2532,793.3529411765,0,0,0,0,32,28,22.3529411765,18,11
09-17-2017 2,0,1004,1001.8823529412,1000,11,2,23,45,38.1470588235,33,47,239,165.7058823529,118,0,0,0,20,31,29.1176470588,27,11
09-17-2017 3,0,1000,999.0303030303,999,3,3,66,62,47.5454545455,35,12,109,14.696969697,0,0,0,0,6,30,27,24,21
09-18-2017 0,11,1003,1001.2647058824,999,2,0,17,82,68.4411764706,47,47,0,0,0,6,0.1764705882,0,8,23,21.8823529412,20,11
09-18-2017 1,8,1003,1002.5882352941,1001,2,1,38,81,61,40,52,2338,761.0882352941,0,0,0,0,35,33,24.6764705882,20,14
09-18-2017 2,0,1003,1001.9117647059,1001,5,2,41,50,45.2058823529,42,35,233,157.0588235294,109,0,0,0,2,28,27.8823529412,27,2
09-18-2017 3,2,1002,1001.6176470588,1001,0,3,58,84,61.9117647059,43,14,100,12.9705882353,0,0,0,0,0,28,24.3529411765,22,17
09-19-2017 0,2,1002,1000.5294117647,999,5,0,26,91,63.8529411765,43,38,0,0,0,0,0,0,0,22,20.9705882353,20,5
09-19-2017 1,2,1003,1002.8571428572,1002,2,1,42,52,45.4,39,25,1764,287.0571428571,0,0,0,0,14,23,20.8857142857,20,11
09-19-2017 2,0,1002,1000.1764705882,998,11,2,38,62,55.1176470588,51,23,618,285.7941176471,80,0,0,0,14,26,24.6470588235,23,5
09-19-2017 3,11,1000,998.8235294118,998,8,3,64,85,71.8823529412,62,0,69,8.2941176471,0,0,0,0,0,26,23.6764705882,21,14
09-20-2017 0,5,999,998.1470588235,997,5,0,44,75,65.5,57,29,0,0,0,0,0,0,5,21,19.7352941176,18,8
09-20-2017 1,8,1000,998.7428571429,998,11,1,28,67,61.6571428571,57,25,644,168.8,0,14,0.4571428571,0,11,22,20.0285714286,19,5
09-20-2017 2,0,998,995.3235294118,993,14,2,26,70,64.7647058824,61,32,447,266.9411764706,58,0,0,0,17,27,25.1470588235,22,8
09-20-2017 3,23,997,993.9117647059,989,14,3,35,80,67.4705882353,61,38,34,3.1764705882,0,2,0.0588235294,0,14,25,22.4117647059,21,26
09-21-2017 0,5,1002,1000.205882353,998,0,0,55,81,71.4117647059,66,32,0,0,0,12,0.3529411765,0,8,19,16.6176470588,15,17
09-21-2017 1,2,1000,999.6,999,0,1,34,83,70.9714285714,51,31,2718,620.6857142857,0,23,3.5428571429,0,20,23,17.8571428571,16,25
09-21-2017 2,8,1000,999.8823529412,999,8,2,32,63,54.8235294118,47,52,217,151.7941176471,102,0,0,0,5,21,20.6470588235,19,5
09-21-2017 3,5,1002,1001.2941176471,1000,0,3,55,65,56.0588235294,46,26,92,11,0,0,0,0,2,20,18.4117647059,16,14
