date,airPressure_outside_fall,airPressure_outside_max,airPressure_outside_mean,airPressure_outside_min,airPressure_outside_rise,hour_group,humidity_outside_fall,humidity_outside_max,humidity_outside_mean,humidity_outside_min,humidity_outside_rise,light_outside_max,light_outside_mean,light_outside_min,rain_outside_max,rain_outside_mean,rain_outside_min,temperature_outside_fall,temperature_outside_max,temperature_outside_mean,temperature_outside_min,temperature_outside_rise
05-02-2017 3,2,1009,1008.3529411765,1008,0,3,47,66,51.1764705882,37,29,146,32.5,0,0,0,0,11,23,20.9117647059,17,26
05-03-2017 0,2,1009,1008.6176470588,1008,5,0,44,84,68.3529411765,54,17,1,0.0294117647,0,0,0,0,2,19,16.0588235294,14,11
05-03-2017 1,2,1010,1009.8,1009,0,1,20,82,54.6857142857,32,62,3005,1146.6571428572,9,0,0,0,37,27,20.5714285714,14,17
05-03-2017 2,0,1010,1008.6176470588,1007,8,2,29,39,35.8235294118,33,20,481,233.9117647059,152,0,0,0,5,25,24.8823529412,24,5
05-03-2017 3,8,1009,1007.7941176471,1007,2,3,44,53,47.5588235294,39,8,151,33.0882352941,0,0,0,0,0,25,22.1470588235,19,17
05-04-2017 0,0,1008,1007.5,1007,2,0,35,74,62.2941176471,53,35,2,0.0588235294,0,0,0,0,5,20,16.6176470588,15,14
05-04-2017 1,0,1008,1008,1008,0,1,37,68,52.4571428571,38,60,2924,1134,10,0,0,0,34,26,20.5428571429,15,17
05-04-2017 2,0,1008,1006.6176470588,1005,8,2,29,43,40.5882352941,38,35,588,314,162,0,0,0,14,26,24.7647058824,24,14
05-04-2017 3,5,1007,1006.0588235294,1005,0,3,47,57,51.1176470588,42,5,206,32.1176470588,0,0,0,0,0,25,21.6470588235,19,17
05-05-2017 0,0,1007,1005.205882353,1003,5,0,58,92,75.2352941176,59,17,0,0,0,24,5.0294117647,0,2,18,15.7058823529,14,17
05-05-2017 1,0,1007,1007,1007,0,1,17,69,55.8571428571,46,42,1803,788.4285714286,5,0,0,0,37,22,17.8285714286,14,14
05-05-2017 2,2,1006,1004.4411764706,1003,11,2,20,49,42.3235294118,37,38,829,408.7058823529,133,0,0,0,8,24,23.3823529412,22,2
05-05-2017 3,14,1005,1003.4705882353,1002,8,3,47,65,56.3235294118,39,17,169,29.5294117647,0,0,0,0,5,23,19.5882352941,17,20
05-06-2017 0,5,1003,1001.75,1001,8,0,41,93,83.0555555556,69,30,0,0,0,23,8.1111111111,0,13,20,15.6944444444,15,16
05-06-2017 1,6,1003,1002.3103448276,1001,3,1,34,95,88.8275862069,75,37,1390,207.0689655172,0,20,11.6896551724,5,17,18,15,14,13
05-06-2017 2,0,1003,1002.6764705882,1002,2,2,32,73,64.3235294118,59,50,787,336.4411764706,125,4,0.3529411765,0,14,20,18.5,17,8
05-06-2017 3,5,1003,1002.3235294118,1002,5,3,41,75,68.6470588235,62,14,147,36.8529411765,0,0,0,0,0,19,17.9411764706,17,5
05-07-2017 0,2,1001,997.7941176471,995,2,0,35,93,84.1176470588,66,29,10,0.3529411765,0,4,2,0,8,21,15.2058823529,14,11
05-07-2017 1,0,1001,999.8823529412,998,8,1,26,88,67.7941176471,50,52,2845,1140.2941176471,28,0,0,0,35,24,18.9117647059,13,17
05-07-2017 2,5,998,996.5882352941,995,11,2,32,88,62.6176470588,49,35,573,359.1764705882,19,21,2.3235294118,0,11,23,20.3823529412,15,20
05-07-2017 3,0,996,995.8285714286,995,2,3,48,92,88.6285714286,68,34,80,13.0571428571,0,12,6.3714285714,4,8,20,15.3428571429,15,8
05-09-2017 0,8,1001,998.7058823529,997,2,0,11,86,77.2647058824,69,38,0,0,0,0,0,0,5,15,12.5588235294,10,11
05-09-2017 1,2,998,997.9411764706,997,0,1,38,81,70.5882352941,57,41,2545,462.4411764706,2,0,0,0,14,21,14.5,13,17
05-09-2017 2,0,998,997.3428571429,997,2,2,42,74,69.3142857143,65,34,731,357.0571428571,37,0,0,0,8,16,14.5142857143,14,11
05-09-2017 3,5,999,998.0588235294,997,0,3,23,78,75.3823529412,73,23,121,12.9411764706,0,17,4.7647058824,0,0,14,11.9705882353,11,8
05-10-2017 0,5,1007,1004.1428571429,1001,0,0,42,88,75.1142857143,61,31,2,0.0571428571,0,9,0.9142857143,0,8,10,8.9428571429,8,14
05-10-2017 1,8,1006,1004.7941176471,1003,0,1,32,84,78.5,67,35,341,114.8235294118,3,19,4.6176470588,0,8,8,7.2647058824,6,8
05-10-2017 2,5,1007,1006.4117647059,1006,5,2,23,76,68.2647058824,64,35,558,339.4411764706,152,4,1.3235294118,0,20,12,10.7647058824,8,11
05-10-2017 3,2,1007,1006.5142857143,1006,0,3,42,83,71.0571428571,57,37,231,40.8571428571,0,0,0,0,8,19,11.7714285714,9,11
05-11-2017 0,5,1007,1005.3823529412,1004,11,0,35,89,80.2058823529,68,26,13,0.5,0,0,0,0,8,15,11.1176470588,7,8
05-11-2017 1,2,1008,1007.4705882353,1007,2,1,23,88,62.4705882353,37,50,3151,1236.5,31,0,0,0,38,22,15,7,14
05-11-2017 2,0,1007,1006.2857142857,1005,5,2,37,49,45.8,43,34,563,206.0571428571,116,0,0,0,8,20,19.6285714286,19,5
05-11-2017 3,2,1005,1004.9705882353,1004,2,3,55,81,63.9411764706,49,17,142,33.5,0,0,0,0,2,20,17.6176470588,15,14
05-12-2017 0,0,1004,1002.0588235294,1001,5,0,47,90,82.5,71,26,4,0.1176470588,0,0,0,0,8,17,15.1470588235,14,11
05-12-2017 1,5,1004,1003.5428571429,1003,2,1,20,81,70.7714285714,59,42,454,242.4285714286,12,0,0,0,17,21,17,13,8
05-12-2017 2,0,1004,1002.205882353,1001,8,2,29,68,61.2647058824,55,47,648,303.9411764706,146,1,0.0294117647,0,17,22,20.5588235294,18,5
05-12-2017 3,2,1001,1000.4411764706,1000,2,3,55,88,70.1470588235,59,20,147,35,0,0,0,0,2,22,19.5882352941,17,17
